loss,val_loss,lr,epoch
0.33674725890159607,0.22283795475959778,0.001,1
0.2500074505805969,0.19521719217300415,0.001,2
0.23010364174842834,0.17940929532051086,0.001,3
0.21545292437076569,0.15917174518108368,0.001,4
0.20254378020763397,0.13998688757419586,0.001,5
0.19607987999916077,0.13150638341903687,0.001,6
0.1874946504831314,0.12655186653137207,0.001,7
0.18481191992759705,0.11358945071697235,0.001,8
0.18041442334651947,0.10289068520069122,0.001,9
0.17496316134929657,0.10801924765110016,0.001,10
0.17565090954303741,0.10099584609270096,0.001,11
0.17753934860229492,0.10466673225164413,0.001,12
0.17389458417892456,0.10347896069288254,0.001,13
0.1747739315032959,0.10627342760562897,0.001,14
0.17026349902153015,0.10680626332759857,0.001,15
0.16634853184223175,0.09880316257476807,0.001,16
0.16789770126342773,0.10038189589977264,0.001,17
0.16643795371055603,0.09753192216157913,0.001,18
0.1624162495136261,0.09517061710357666,0.001,19
0.16805298626422882,0.09710128605365753,0.001,20
0.1586499661207199,0.09994211792945862,0.001,21
0.16220204532146454,0.10245034843683243,0.001,22
0.1667155623435974,0.1036296859383583,0.001,23
0.1633651852607727,0.09484171122312546,0.001,24
0.16253402829170227,0.09574428200721741,0.001,25
0.16503381729125977,0.09455651044845581,0.001,26
0.1656251847743988,0.10280156135559082,0.001,27
0.16023334860801697,0.09116919338703156,0.001,28
0.16275903582572937,0.09149106591939926,0.001,29
0.16194862127304077,0.09434247761964798,0.001,30
0.16452960669994354,0.10042481124401093,0.001,31
0.16234846413135529,0.09612283110618591,0.001,32
0.162997767329216,0.09053169190883636,0.001,33
0.15945306420326233,0.09355811774730682,0.001,34
0.16334395110607147,0.0959731936454773,0.001,35
0.1592050939798355,0.09471968561410904,0.001,36
0.15905265510082245,0.09652845561504364,0.001,37
0.16245347261428833,0.09061458706855774,0.001,38
0.15295009315013885,0.08974488079547882,0.0005,39
0.15926828980445862,0.08861220628023148,0.0005,40
0.15117481350898743,0.08418779820203781,0.0005,41
0.15639857947826385,0.08448797464370728,0.0005,42
0.15293903648853302,0.08705944567918777,0.0005,43
0.1518440544605255,0.08847737312316895,0.0005,44
0.15775305032730103,0.09242633730173111,0.0005,45
0.15123087167739868,0.08604734390974045,0.0005,46
0.1503712683916092,0.0833335742354393,0.00025,47
0.15121197700500488,0.08480636030435562,0.00025,48
0.15236687660217285,0.08602125942707062,0.00025,49
0.15063290297985077,0.08523059636354446,0.00025,50
0.1483340859413147,0.08269744366407394,0.00025,51
0.1526990830898285,0.08409103751182556,0.00025,52
0.1505260020494461,0.08210036158561707,0.00025,53
0.15325045585632324,0.08520021289587021,0.00025,54
0.14995142817497253,0.0845518484711647,0.00025,55
0.15240304172039032,0.08372106403112411,0.00025,56
0.1500268429517746,0.08377572149038315,0.00025,57
0.1490846872329712,0.08325599133968353,0.00025,58
0.15027722716331482,0.08282209932804108,0.000125,59
0.14836318790912628,0.08177453279495239,0.000125,60
0.14830282330513,0.08283058553934097,0.000125,61
0.15098311007022858,0.0822695642709732,0.000125,62
0.15146306157112122,0.08357418328523636,0.000125,63
0.15102839469909668,0.08317354321479797,0.000125,64
0.1438426524400711,0.08145210146903992,0.000125,65
0.14893712103366852,0.0816028043627739,0.000125,66
0.15163692831993103,0.08146924525499344,0.000125,67
0.1455717831850052,0.08222311735153198,0.000125,68
0.15091736614704132,0.0819890946149826,0.000125,69
0.15126188099384308,0.08397328108549118,0.000125,70
0.15141615271568298,0.08294703811407089,1e-04,71
0.14687933027744293,0.0824766457080841,1e-04,72
0.1519179493188858,0.08294873684644699,1e-04,73
0.14584951102733612,0.0829058438539505,1e-04,74
0.14878766238689423,0.08220179378986359,1e-04,75
0.1460692584514618,0.08115154504776001,1e-04,76
0.14677275717258453,0.08124569058418274,1e-04,77
0.14891642332077026,0.0810500755906105,1e-04,78
0.148124098777771,0.0812731385231018,1e-04,79
0.1473328024148941,0.08080144226551056,1e-04,80
0.15548186004161835,0.08108410239219666,1e-04,81
0.15532155334949493,0.08301619440317154,1e-04,82
0.14853978157043457,0.08229992538690567,1e-04,83
0.15292896330356598,0.08210994303226471,1e-04,84
0.14442875981330872,0.08127656579017639,1e-04,85
0.14570404589176178,0.08186065405607224,1e-04,86
0.14414991438388824,0.08129435777664185,1e-04,87
0.14753200113773346,0.0817350372672081,1e-04,88
0.14815150201320648,0.08013644069433212,1e-04,89
0.15231095254421234,0.08196918666362762,1e-04,90
0.14696019887924194,0.08130411058664322,1e-04,91
0.1498468965291977,0.08101338893175125,1e-04,92
0.14287547767162323,0.07999277859926224,1e-04,93
0.14269113540649414,0.07991676777601242,1e-04,94
0.1512402594089508,0.08033756911754608,1e-04,95
0.15263816714286804,0.08031395077705383,1e-04,96
0.15196652710437775,0.08067318052053452,1e-04,97
0.14944393932819366,0.08199700713157654,1e-04,98
0.1516425907611847,0.0830695629119873,1e-04,99
0.15107324719429016,0.08248960971832275,1e-04,100
